symbol,date,avg_volume_last_quarter
AAPL,29/09/2023,1337873796.0
AAPL,31/10/2023,1255359793.5
AAPL,30/11/2023,1203493432.6666667
AAPL,01/12/2023,914046280.25
AMZN,29/09/2023,1120523243.0
AMZN,31/10/2023,1172614984.5
AMZN,30/11/2023,1123810586.6666667
AMZN,01/12/2023,852845898.25
GOOG,29/09/2023,389661374.0
GOOG,31/10/2023,452285527.0
GOOG,30/11/2023,436757887.6666667
GOOG,01/12/2023,333635412.5
META,29/09/2023,406801410.0
META,31/10/2023,459086742.0
META,30/11/2023,415842588.0
META,01/12/2023,315701034.75
MSFT,29/09/2023,416768824.0
MSFT,31/10/2023,478866286.5
MSFT,30/11/2023,507299312.3333333
MSFT,01/12/2023,388734602.25
NVDA,29/09/2023,858010319.0
NVDA,31/10/2023,936125831.0
NVDA,30/11/2023,929075560.3333334
NVDA,01/12/2023,706039595.5